,,,,,,,,,
x,,x,,y,,z,,z,
"1,3,4,6",,"2,5",,"1,2,3,4,5,6",,"1,4",,"2,3,5,6",
-170,108,-170,5,-170,5,-285.6,3,-285.6,190
-168,112,-168,15,-168,15,-280.6,10,-280.6,210
-146,116,-155,25,-155,25,-255.2,20,-255.2,216.2
-122,120,-141,35,-141,35,-240.6,30,-240.6,222.4
-100,124,-127,45,-127,45,-228.6,40,-228.6,228.6
-95,128,-113,55,-113,55,-200,50,-210,232.6
-90,132,-100,65,-100,65,-160,60,-190,236.6
-60,136,-95,75,-95,75,-120,70,-170,240.6
-40,140,-90,85,-90,85,-100,80,-150,245.1
-20,144,-85,90,-85,90,-80,100,-130,249.7
-5,148,-75,95,-75,95,-70,120,-110,254.2
5,152,-65,100,-65,100,-60,160,-90,255.2
15,156,-55,113,-55,113,-50,200,-70,256.2
25,158,-45,127,-45,127,-40,228.6,-50,260.1
35,160,-35,141,-35,141,-30,240.6,-30,264
45,162,-25,155,-25,155,-20,255.2,-10,267.9
55,164,-15,168,-15,168,-10,280.6,10,271.8
65,165,-5,170,-5,170,-3,285.6,30,275.7
75,166,,,,,,,50,279.6
85,167,,,,,,,70,280.6
90,168,,,,,,,90,281.6
95,169,,,,,,,110,282.6
100,170,,,,,,,130,283.6
104,,,,,,,,150,284.6
,,,,,,,,170,285.6